MAX CAPACITY = 12 slots x server_bonus(20)=2580 = 30960

====================================================================================================
  CAPACITY na roznych etapach gry
====================================================================================================
  Start (1 srv lvl 1)                 => capacity =     19
  1 rack filled (4 srv lvl 1)         => capacity =     76
  1 rack maxed (4 srv lvl 20)         => capacity = 10,320
  3 racks filled lvl 5                => capacity =    624
  3 racks filled lvl 10               => capacity =  2,268
  3 racks filled lvl 15               => capacity =  8,352
  ALL MAXED                           => capacity = 30,960

====================================================================================================
  SERVER LEVELS (1 serwer, lvl 1-20)
====================================================================================================
  Lvl |   Capacity |   Gain |   Upgrade cost |     Cumul cost |   Cost/cap
    1 |         19 | +  19 |          1,400 |          1,400 |       73.7
    2 |         24 | +   5 |          1,959 |          3,359 |      140.0
    3 |         31 | +   7 |          2,743 |          6,102 |      196.8
    4 |         40 | +   9 |          3,841 |          9,943 |      248.6
    5 |         52 | +  12 |          5,378 |         15,321 |      294.6
    6 |         67 | +  15 |          7,529 |         22,850 |      341.0
    7 |         87 | +  20 |         10,541 |         33,391 |      383.8
    8 |        113 | +  26 |         14,757 |         48,148 |      426.1
    9 |        146 | +  33 |         20,661 |         68,809 |      471.3
   10 |        189 | +  43 |         28,925 |         97,734 |      517.1
   11 |        245 | +  56 |         40,495 |        138,229 |      564.2
   12 |        318 | +  73 |         56,693 |        194,922 |      613.0
   13 |        413 | +  95 |         79,371 |        274,293 |      664.1
   14 |        536 | + 123 |        111,120 |        385,413 |      719.1
   15 |        696 | + 160 |        155,568 |        540,981 |      777.3
   16 |        904 | + 208 |        217,795 |        758,776 |      839.4
   17 |      1,175 | + 271 |        304,913 |      1,063,689 |      905.3
   18 |      1,527 | + 352 |        426,878 |      1,490,567 |      976.1
   19 |      1,985 | + 458 |        597,630 |      2,088,197 |     1052.0
   20 |      2,580 | + 595 |        836,682 |      2,924,879 |     1133.7

====================================================================================================
  KOSZTY UPGRADE'OW (price * 1.5^level)
====================================================================================================

  User messaging (base price: 80, max lvl: 10)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |            120 |            120 |         15 |        8.0
    2 |            180 |            300 |         22 |       13.6
    3 |            270 |            570 |         33 |       17.3
    4 |            405 |            975 |         49 |       19.9
    5 |            607 |          1,582 |         73 |       21.7
    6 |            911 |          2,493 |        109 |       22.9
    7 |          1,366 |          3,859 |        163 |       23.7
    8 |          2,050 |          5,909 |        244 |       24.2
    9 |          3,075 |          8,984 |        366 |       24.5
   10 |          4,613 |         13,597 |        549 |       24.8

  Push notifications (base price: 1,000, max lvl: 10)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |          1,500 |          1,500 |         33 |       45.5
    2 |          2,250 |          3,750 |         49 |       76.5
    3 |          3,375 |          7,125 |         73 |       97.6
    4 |          5,062 |         12,187 |        109 |      111.8
    5 |          7,593 |         19,780 |        163 |      121.3
    6 |         11,390 |         31,170 |        244 |      127.7
    7 |         17,085 |         48,255 |        366 |      131.8
    8 |         25,628 |         73,883 |        549 |      134.6
    9 |         38,443 |        112,326 |        823 |      136.5
   10 |         57,665 |        169,991 |      1,234 |      137.8

  Load balancing (base price: 3,500, max lvl: 10)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |          5,250 |          5,250 |         67 |       78.4
    2 |          7,875 |         13,125 |        100 |      131.2
    3 |         11,812 |         24,937 |        150 |      166.2
    4 |         17,718 |         42,655 |        225 |      189.6
    5 |         26,578 |         69,233 |        337 |      205.4
    6 |         39,867 |        109,100 |        505 |      216.0
    7 |         59,800 |        168,900 |        757 |      223.1
    8 |         89,701 |        258,601 |      1,135 |      227.8
    9 |        134,551 |        393,152 |      1,702 |      231.0
   10 |        201,827 |        594,979 |      2,553 |      233.1

  Request routing (base price: 12,000, max lvl: 10)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |         18,000 |         18,000 |         90 |      200.0
    2 |         27,000 |         45,000 |        135 |      333.3
    3 |         40,500 |         85,500 |        202 |      423.3
    4 |         60,750 |        146,250 |        303 |      482.7
    5 |         91,125 |        237,375 |        454 |      522.9
    6 |        136,687 |        374,062 |        681 |      549.3
    7 |        205,031 |        579,093 |      1,021 |      567.2
    8 |        307,546 |        886,639 |      1,531 |      579.1
    9 |        461,320 |      1,347,959 |      2,296 |      587.1
   10 |        691,980 |      2,039,939 |      3,444 |      592.3

  Async processing (base price: 40,000, max lvl: 10)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |         60,000 |         60,000 |        127 |      472.4
    2 |         90,000 |        150,000 |        190 |      789.5
    3 |        135,000 |        285,000 |        285 |     1000.0
    4 |        202,500 |        487,500 |        427 |     1141.7
    5 |        303,750 |        791,250 |        640 |     1236.3
    6 |        455,625 |      1,246,875 |        960 |     1298.8
    7 |        683,437 |      1,930,312 |      1,440 |     1340.5
    8 |      1,025,156 |      2,955,468 |      2,160 |     1368.3
    9 |      1,537,734 |      4,493,202 |      3,240 |     1386.8
   10 |      2,306,601 |      6,799,803 |      4,860 |     1399.1

  AI core upgrade (base price: 200,000, max lvl: 5)
  Lvl |      Koszt lvl |    Koszt cumul |      Bonus | Cost/bonus
    1 |        300,000 |        300,000 |        180 |     1666.7
    2 |        450,000 |        750,000 |        270 |     2777.8
    3 |        675,000 |      1,425,000 |        405 |     3518.5
